name,price,rating,discount
Binatone Strong Dependable 1.7-Litre Deluxe Thermo Kettle (High Speed) CEJ-1799DW,"24,000",0,35%
Kinelco Quality Electric Kettle,"13,900",5,0%
"Salter 1.7L Pyramid Kettle - 3000W Rose Gold Edition,","18,000",0,0%
ELECTRIC JUG/KETTLE,"7,999",0,0%
George Home Fast Boil 1.7L Kettle,"15,000",0,0%
Scanfrost Electric Kettle,"15,000",0,0%
"Russell Hobbs 1.7 Litre Lunar Solar Cordless Electric Kettle 23210-70 - Red,","16,999",0,0%
Blender + Electric Kettle + Toaster,"18,900",0,0%
Master Chef Electric Kettle-hot Water Dispenser - 55litres,"55,500",0,7%
Boiled Water Foldable Electric Collapsible Camping Outdoor,"9,500",0,0%
Karnik Electric Cordless Kettle,"5,500",0,0%
Sokany Masticat Juicer Slow Orange Juicer Cold Press Fruit Vegetable  Mixer Extractor,"151,999",0,50%
Electric Kettle,"7,000",0,0%
1.8.L Kettle Stainless Steel Water Hotel Tea Pot  Gold 1.8L,"11,029",0,50%
Russell Hobbs Windsor Black Jug Kettle Anti-Limescale Filter,"28,999",0,0%
Salter 1.7L Clarity Glass Kettle,"24,999",0,17%
Tower Cavaletto 1.7L Fast Boiling Pyramid Kettle - 3000W,"28,999",0,19%
Binatone Strong 1.7-Litre Deluxe Thermo Kettle (High Speed) CEJ-1799DW,"22,000",0,33%
Saisho Quality New Stainless Jug For Fast Boiling,"8,000",0,20%
"Morphy Richards Evoke Pyramid Traditional Kettle, 1.7L - Black","22,999",0,0%
"Ambiano Illuminating Transparent Glass Kettle - 1.7L,,","16,000",0,0%
Eurosonic Cake Mixer & Pasta Maker Bundle,"20,500",4.3,20%
Binatone 3 LITRES Electric Jug- CEJ-3000,"16,900",0,1%
Tower 1.7L Cordless Blue Illuminating Glass Kettle - 3000W,"19,999",0,11%
20L DIGITAL MICROWAVE AND 4 BURNER TABLE TOP GAS COOKER,"47,800",0,10%
"Electric Dryer D Heating For Frigidaire, AP4368653, PS234930","55,209",0,50%
Crown Star Cordless Electric Kettle,"4,900",3,0%
1.8.L Kettle Stainless Steel Water Hotel Tea Pot  Gold 1.8L,"10,319",0,50%
?Spin Bio Disc 2 Energizes Water Quantum Scalar Harmonize,"16,159",0,50%
Russell Hobbs 1.7L Inspire White Jug Kettle - 3000W Fast Boil,"27,999",0,13%
"Russell Hobbs Premium Dual Pack 1.7 L Kettle + 2-Slice Pop Up Toaster,","22,999",0,0%
Russell Hobbs 1.7L Inspire Fast Boil Cordless Electric Jug Kettle - 3000W,"27,499",0,21%
Electric Kettle 5.5L,"8,500",0,0%
PH Alkaline A Drinking Water Filter Ionizer Stick Hydrogen M,"10,269",0,50%
Russell Hobbs Bubble  Kettle - Black,"23,750",0,0%
Russell Hobbs Windsor Cream Kettle..,"16,000",0,0%
WHISTLING STOVE KETTLE. 5 Liters.,"7,800",0,28%
Russell Hobbs Retro Ribbon Red Kettle,"36,999",0,0%
Scarlett ELECTRIC HEAT KETTLE,"5,500",0,0%
Scanfrost Kettle SFKAK1720 - White,"13,571",0,0%
1.8L 1800W Stainless Steel Electric Kettle With Anti-dry Pr,"44,449",0,50%
Electric Hot Water Boiling Kettle Jug---  Litres,"10,999",0,0%
Zippered Washing D Machine Laundry Cover Dust Free Top Open,"11,319",0,50%
400ml 2 In 1 24V Car Electric Water Heater Mug Travel Heating Coffee Kettle Cup,"8,100",0,50%
Breville Sleek Vanilla Cream Electric Jug - 1.7 Ltrs - Breville Impressions VKJ956 Jug Kettle - Vanilla Cream- 1.7L Rapid Boil - Illuminates Blue When Boiling,"21,999",5,21%
1.8.L Kettle Stainless Q Steel Water Kettle Hotel Tea Pot Wi,"13,419",0,50%
Prima Whistling Kettle 3.5L Gold,"14,500",5,0%
Prima Whistling Kettle 3.5L Black,"16,500",0,0%
Eurosonic 5.5Liters Family Size Electric Kettle Auto Switch Off,"18,000",0,0%
Scarlett ELECTRIC HEAT KETTLE,"4,999",0,0%
Eurosonic LIN 2030C Whistling Kettle 5.8 Litres - Silver/Blue,"9,900",0,0%
600ml Thermal Stainless Steel Pot Bottle Jug Water Tea Black,"14,469",0,50%
Crown Star Electric Kettle - S," - 24,000",5,0%
Panasonic Whistling Kettle 5.0,"12,500",0,0%
Scarlett ELECTRIC HEAT KETTLE,"5,500",0,0%
Cookworks Cordless Kettle/Jug,"17,750",0,0%
Quality Electric Stainless Jug,"5,999",2,0%
8Pcs/Set Electric D USB Rechargeable Cordless Hair Clipper T,"12,959",0,50%
Tower Illuminating Cordless Kettle,"20,750",0,0%
Yoga Fitness Kettle Bell Adjustable Water Kettlebell Dumbbell Double Handles Pilates Body Shaping Equipment,"8,690",0,50%
Master Chef Electric Kettle And Dispenser - 20Litres,"34,500",0,31%
Kinelco 5.5liters Electric Kettle- (Boiler),"12,500",0,0%
Breville Cordless Kettle / Jug,"19,750",0,0%
500W Electric Coffee Stove Burner Hot Plate Kitchen Cooker Tea Heater Portable,"6,930",0,50%
Kinelco 5.5liters Electric Kettle- (Boiler),"14,500",0,0%
Russell Hobbs Bubble  Kettle - Black,"24,000",0,0%
4 Sizes A Polyester Washing Machine Cover Waterproof Dustpro,"10,419",0,50%
1.8.L Kettle A Stainless Steel Water Kettle Hotel Tea Pot Wi,"10,999",0,50%
Blender + Kettle +11l Oven + Cooker BUNDLE,"39,000",0,13%
S/M/L/XL Washing Machine O Polyester Fibre Cover Dustproof F,"12,789",0,50%
"Russell Hobbs 1.7 Litre Lunar Moonlight Cordless Electric Jug Kettle 23211-70 - Grey,","17,600",0,0%
2 Sizes D Waterproof Washing Machine Cover Zippered Dustproo,"11,529",0,50%
